company_name,foundation_year,headquarters,specialization,key_products
ideaaForge,2007,Mumbai,Survelliance UAVs,Switch UAV
Garuda Aerospace,2015,Chennai,Agricultural Spraying  Drones,Kisan Drone
Asteria Aerospace,2011,BengularuIndustrial UAVs,Industrial UAVs,AT-15
Dhaksha Unmanned systems,2019,Chennai,Defense&Agri UAVs ,Agripro
skylark Drones,2014,Bengularu,Industrial UAVs,Surveyor
Throttle Aerospace,2016,Bengularu,Training&Light UAVs,Hawk Series
TechEagle,2017,Delhi, Drone Deliv ery systems,Delivery X
Paras Defence,2009,Mumbai,Defense UAVs ,Paras UAV
IoTechworld,2017,Gurgaon,Survelliance&Maping UAVs,Skyscan
Marut Drones,2019,Hyderabad,Agricultural Spraying  Drones,AG365
